min_df=3                                                   d= 32900  median=  1069  mean=  1435  p90=  3056  max=  6498  [87s]
min_df=5                                                   d= 22240  median=  1050  mean=  1399  p90=  3006  max=  6157  [65s]
min_df=8                                                   d= 15670  median=  1051  mean=  1373  p90=  2984  max=  5522  [56s]
min_df=12                                                  d= 11813  median=  1062  mean=  1378  p90=  2944  max=  5533  [53s]
min_df=20                                                  d=  8154  median=  1123  mean=  1430  p90=  3028  max=  5627  [45s]
min_df=2 svd=50                                            d=    50  median=  1051  mean=  1335  p90=  2592  max=  7104  [11s]
min_df=2 svd=75                                            d=    75  median=  1116  mean=  1333  p90=  2658  max=  6161  [17s]
min_df=2 svd=100                                           d=   100  median=  1069  mean=  1310  p90=  2502  max=  7390  [10s]
min_df=2 svd=150                                           d=   150  median=  1278  mean=  1485  p90=  2722  max=  5576  [7s]
min_df=5 svd=50                                            d=    50  median=  1067  mean=  1324  p90=  2683  max=  6120  [3s]
min_df=5 svd=75                                            d=    75  median=  1068  mean=  1328  p90=  2737  max=  5794  [4s]
min_df=5 svd=100                                           d=   100  median=  1038  mean=  1298  p90=  2468  max=  6510  [6s]
min_df=5 svd=150                                           d=   150  median=  1308  mean=  1505  p90=  2719  max=  5802  [7s]
min_df=8 svd=100                                           d=   100  median=  1068  mean=  1285  p90=  2517  max=  5952  [4s]
